UTM1,UTM2,UTMzone,category,lat,lon,panoid,numeric,yearMonth,place_id,city
0660329.93,1522162.46,47,P,013.76438,0100.48301,3TQZ69H-WlAmAiXDm9yQtQ,398,201905,4257,Bangkok
0660330.27,1522163.07,47,P,013.76439,0100.48301,QhkneM7OnxIn0IR04qbFPQ,400,201909,4257,Bangkok
0660330.53,1522165.22,47,P,013.76440,0100.48302,7HIQoULslD4PVaOuH7Rsrw,389,201811,4257,Bangkok
0660330.57,1522162.71,47,P,013.76438,0100.48302,t7St5vvrNm4vutUqzQTHkw,386,201409,4257,Bangkok
0660330.78,1522161.38,47,P,013.76437,0100.48302,baM4Yu8GtebenSDFcRHyGg,405,201708,4257,Bangkok
0660331.09,1522165.40,47,P,013.76441,0100.48302,HheLIcFVa_YmE_0ZIjaCxA,387,201109,4257,Bangkok
0660331.13,1522166.15,47,P,013.76441,0100.48302,Oa8ctzhyKa5FBv2_roCOFw,406,201802,4257,Bangkok
0660332.10,1522163.14,47,P,013.76439,0100.48303,4MzEbBT_R8cirXEKykDwhA,395,201806,4257,Bangkok
0660332.20,1522162.50,47,P,013.76438,0100.48303,eANJrTGNPto8I9MvO3u4dw,391,201611,4257,Bangkok
0660332.34,1522161.98,47,P,013.76438,0100.48303,8KuyFvm4J__CYUtBjwuBcA,390,201705,4257,Bangkok
0660332.71,1522162.85,47,P,013.76438,0100.48304,SmeRXdtJKzwXPUMMGuoG_A,403,202009,4257,Bangkok
0660332.89,1522160.87,47,P,013.76437,0100.48304,lg7hCQ5kEYRhIqpwQ4iCFQ,401,201807,4257,Bangkok
0660335.56,1522164.49,47,P,013.76440,0100.48306,u4XacJw9lKPIidUZ5Kultg,401,201711,4257,Bangkok
0660345.26,1521448.88,47,P,013.75793,0100.48311,54lGJM6Wk5zbQrcSbOZ0GQ,225,201611,3741,Bangkok
0660345.86,1521447.40,47,P,013.75792,0100.48312,XwCJg7OY-0IPFnPSJNhkwQ,227,201705,3741,Bangkok
0660347.64,1521451.08,47,P,013.75795,0100.48313,Zif89rM83ITD1LmNTWLD8Q,252,201909,3741,Bangkok
0660348.86,1521454.15,47,P,013.75798,0100.48315,gDS3i2_2CBgciW6Q9dhX_g,235,201109,3741,Bangkok
