UTM1,UTM2,UTMzone,category,lat,lon,panoid,numeric,yearMonth,place_id,city
0425466.66,4581221.00,31,T,041.37906,0002.10864,YieKhi4tmfQA2EKIIdCoGQ,246,201806,841,Barcelona
0425466.69,4581220.29,31,T,041.37905,0002.10864,SN4p06eD_MJrSVrUbk8bnw,250,201406,841,Barcelona
0425466.77,4581219.43,31,T,041.37904,0002.10864,2K3r21jZna1k7aZWO4XJgQ,251,201211,841,Barcelona
0425466.78,4581220.05,31,T,041.37905,0002.10864,6qb05jnHWnsYiYj5tag-Aw,264,201205,841,Barcelona
0425466.88,4581219.50,31,T,041.37904,0002.10865,yaLgtS9eJV9jQ4r_MzhiFQ,251,201705,841,Barcelona
0425467.37,4581218.64,31,T,041.37903,0002.10865,ii6Br7DlDcXgpaonuKdBRA,258,201605,841,Barcelona
0425467.41,4581219.18,31,T,041.37904,0002.10865,GiZVvhN_sz4wlWyk08j8OQ,265,201504,841,Barcelona
0425467.94,4581217.44,31,T,041.37902,0002.10866,08IYB9iTPlItbLf8igxuSw,253,200806,841,Barcelona
0425468.12,4581217.08,31,T,041.37902,0002.10866,X0woXuBeyUPqUKYdH5O1tw,242,201410,841,Barcelona
0425468.68,4581216.43,31,T,041.37901,0002.10867,e6zHsFx0-cB5qCOw9aPmDA,262,201402,841,Barcelona
0425468.83,4581216.71,31,T,041.37902,0002.10867,MEo8AOYA_Wmr_i5dSY66iQ,261,201310,841,Barcelona
0425470.89,4581218.55,31,T,041.37903,0002.10869,kzS4NveE0tKbsNxDDUql6g,253,201906,841,Barcelona
0425471.38,4581218.47,31,T,041.37903,0002.10870,1fKCL2GAmIut3QF6Y2ff7g,233,201903,841,Barcelona
0425596.59,4583946.09,31,T,041.40361,0002.10986,qZHNdf-F-jG95XGdbOaInQ,215,201605,1679,Barcelona
0425596.66,4579756.17,31,T,041.36587,0002.11038,mEVgeEJIN_DYULNb5_hzoA,342,201205,336,Barcelona
0425596.82,4583945.63,31,T,041.40361,0002.10986,vXrS5-Del4gE9WxwHH_YVw,243,201205,1679,Barcelona
0425597.12,4579756.30,31,T,041.36588,0002.11038,kVoIqqlFnfWzfAPcPXvNDQ,324,201410,336,Barcelona
0425597.20,4583945.03,31,T,041.40360,0002.10987,YuXt27yJoFoGIVFwKfpUeA,237,201705,1679,Barcelona
0425597.50,4583944.47,31,T,041.40360,0002.10987,N0Js10K_Fh1zD6cKBH2xNQ,238,201810,1679,Barcelona
0425597.77,4583943.84,31,T,041.40359,0002.10988,DAcIi7Def0G8i71ViNlS0A,206,201908,1679,Barcelona
0425597.89,4583943.97,31,T,041.40359,0002.10988,hxwbeCkBIl29vbh3zP_3uw,211,201906,1679,Barcelona
0425599.52,4579756.77,31,T,041.36588,0002.11041,VaExhh1Ly4rQyGFe76u-pw,321,200806,336,Barcelona
0425601.25,4579757.72,31,T,041.36589,0002.11043,dszeIekYVVXUWFr2aVA1iQ,324,201906,336,Barcelona
0425601.73,4579757.98,31,T,041.36589,0002.11044,xaENJMO8LkIFtFaXDx1s8A,329,201402,336,Barcelona
0425602.60,4579758.43,31,T,041.36590,0002.11045,U7cqK1rtTfJVXdZwK3y9NQ,340,201406,336,Barcelona
0425603.64,4579758.63,31,T,041.36590,0002.11046,xZd8YMy7dWlJ7AmXJqgJwA,322,201505,336,Barcelona
0425604.39,4579534.42,31,T,041.36388,0002.11050,0-t6avrger0NIctiawrVQQ,076,201709,281,Barcelona
0425604.49,4579535.89,31,T,041.36389,0002.11050,RHEaUfXFwAUlLvzgqs8gsg,082,201410,281,Barcelona
0425604.64,4578650.83,31,T,041.35592,0002.11061,NkedzgGB496bq_1QFdIEdg,335,201705,0,Barcelona
0425605.02,4578650.07,31,T,041.35591,0002.11061,BsN_shtFbaOf9AQ0VDloMg,337,201606,0,Barcelona
0425605.09,4579532.35,31,T,041.36386,0002.11051,Yy8AlITs4tHQlQw_C42d7g,053,201806,281,Barcelona
0425605.13,4578651.09,31,T,041.35592,0002.11061,hMnSyAyh00W8ZfSGMuJMrQ,340,201806,0,Barcelona
0425605.18,4579534.53,31,T,041.36388,0002.11051,l3xhSM0_hLC7s_PwtnT0xw,079,201402,281,Barcelona
0425605.37,4578649.56,31,T,041.35591,0002.11062,s0gk0AIOyPsJ_qiKjW6-eg,336,201403,0,Barcelona
0425605.39,4578648.80,31,T,041.35590,0002.11062,nk_QaNM15aEnqiH3fVyfsQ,345,201904,0,Barcelona
0425605.57,4579531.42,31,T,041.36385,0002.11051,bAsx1pfpHIQi-_LUvfo4wg,078,201406,281,Barcelona
0425605.64,4579759.08,31,T,041.36590,0002.11048,BiKi7lCW8YbCzu9jxcv9dQ,321,201806,336,Barcelona
0425606.07,4579530.99,31,T,041.36385,0002.11052,ay0IrVToJIORDAPIZq9amw,059,200806,281,Barcelona
0425606.48,4579530.85,31,T,041.36385,0002.11052,NMBFpOWcoaGWOg2FMBVHeA,063,201705,281,Barcelona
0425606.62,4579529.02,31,T,041.36383,0002.11052,wd-Qz3AFHWqTjMRU875IKg,073,201504,281,Barcelona
0425607.11,4579530.12,31,T,041.36384,0002.11053,PtgHRPFoa1mGty48KVNhzw,085,201606,281,Barcelona
0425608.03,4578646.92,31,T,041.35588,0002.11065,cVGYii-bnQM1b8l4BUlhwg,672,201807,0,Barcelona
0425609.10,4579183.48,31,T,041.36072,0002.11060,PFTtr2LDDV-c5O9vmM6Usw,209,201904,168,Barcelona
0425609.16,4579183.65,31,T,041.36072,0002.11060,Nk-pG5yvFN3BsP42kGqA2A,217,201205,168,Barcelona
0425610.15,4581740.58,31,T,041.38375,0002.11029,_tMLJHQWs05LH8pZ-KoyMA,301,201310,955,Barcelona
