UTM1,UTM2,UTMzone,category,lat,lon,panoid,numeric,yearMonth,place_id,city
0323955.53,4687775.28,19,T,042.32232,-071.13645,7_vIias7rB8uZ8RG0KFCLA,036,200709,117,Boston
0323957.10,4687775.36,19,T,042.32232,-071.13643,sFCm4oecC2ua6I3IpiMB6Q,020,200909,117,Boston
0323958.22,4687774.42,19,T,042.32231,-071.13642,x7LzeddXW_MUJhzdiW5LkA,032,201107,117,Boston
0323959.08,4687773.97,19,T,042.32231,-071.13641,vgdyEtccylgkFhKJ4Xh1_w,013,201907,117,Boston
0323959.37,4687777.94,19,T,042.32235,-071.13641,9JbbZrivVRqpcjpuwbqOrg,194,201805,117,Boston
0323959.52,4687774.12,19,T,042.32231,-071.13640,RADbzrxyUgDslDw1jsDu_w,012,201707,117,Boston
0323959.91,4687773.44,19,T,042.32231,-071.13640,vYrghAQhBt0GY273w9RQuw,014,201808,117,Boston
0323962.03,4687776.70,19,T,042.32234,-071.13637,CD7OityknLxSfRGUKbCmpA,206,201507,117,Boston
0324027.12,4689720.95,19,T,042.33985,-071.13618,cY7Vl5PTj-jXZe3YF-l8WQ,250,201707,2106,Boston
0324029.02,4689727.28,19,T,042.33991,-071.13616,VHYyeqIOxmPfkXsGilNrXw,069,201805,2106,Boston
0324029.96,4689726.87,19,T,042.33990,-071.13614,ye4ycPVbwdBsuz-mmGk1PA,075,201111,2106,Boston
0324030.67,4689724.08,19,T,042.33988,-071.13613,J-deRoLn6w2Ya8LdQ-U3Jg,072,201909,2106,Boston
0324031.89,4689721.69,19,T,042.33986,-071.13612,Y211li2nVV2ni7nHGBte6A,248,201605,2106,Boston
0324032.53,4689724.16,19,T,042.33988,-071.13611,lfQXy8TjgmbGinbVOOc_Zw,078,200709,2106,Boston
0324032.75,4689724.25,19,T,042.33988,-071.13611,gBImVWfFPu6bAnrs423s4A,076,200908,2106,Boston
0324033.96,4689722.71,19,T,042.33987,-071.13609,qQ2t_xvm4_fS9DgX1xogLA,082,201107,2106,Boston
0324055.91,4689856.02,19,T,042.34107,-071.13587,c0BffnGxHv89A1CCi4OrGg,077,201605,2223,Boston
0324056.07,4689855.65,19,T,042.34107,-071.13587,Ic1MpyVpkspd054u76eHIw,078,201805,2223,Boston
