UTM1,UTM2,UTMzone,category,lat,lon,panoid,numeric,yearMonth,place_id,city
0442691.98,4632439.10,16,T,041.84177,-087.69026,mjEUWkfxYVu6_0d7HRYt9Q,173,201407,231,Chicago
0442692.08,4632438.05,16,T,041.84176,-087.69026,1Qln9K2_tC9h1uRHXybteg,180,201510,231,Chicago
0442692.41,4632434.97,16,T,041.84173,-087.69026,TvAZdEU0_MqQrsKeisEZgQ,176,201907,231,Chicago
0442692.52,4632436.52,16,T,041.84175,-087.69026,tp8ixY3-B_3q__h963LBYA,172,200709,231,Chicago
0442694.35,4632433.30,16,T,041.84172,-087.69024,t60q3RkEPCnx8qRo5Kv_iA,168,201106,231,Chicago
0442696.11,4632437.81,16,T,041.84176,-087.69021,SoZmr3gzNLsQwaUsqDRGjQ,345,201806,231,Chicago
0442804.54,4635102.98,16,T,041.86577,-087.68917,e_42ZNZRJJsphkxwXQZDxw,117,201607,2133,Chicago
0442806.77,4635105.25,16,T,041.86579,-087.68914,JMGTwBGesJeuzB5DUJY74w,123,201208,2133,Chicago
0442807.32,4635105.66,16,T,041.86579,-087.68913,S3swssLmwIsaqvH7r0VrEw,116,201806,2133,Chicago
0442807.35,4635102.03,16,T,041.86576,-087.68913,ESnX_pLaVnQiMFhiBp5t-Q,119,201907,2133,Chicago
0442807.82,4635104.57,16,T,041.86578,-087.68913,FA7HYNN_w59eRGeZImoI3A,120,201407,2133,Chicago
0442808.03,4635103.86,16,T,041.86578,-087.68912,tHOsw4PA9-n9ljZrQVXuyg,120,201105,2133,Chicago
0442808.06,4635100.86,16,T,041.86575,-087.68912,Wxeg7v9WcTE7c0KFLYVY6Q,118,201510,2133,Chicago
0442808.41,4635097.51,16,T,041.86572,-087.68912,VNNtK2olXqQPTffWTlcNjg,131,200709,2133,Chicago
0442833.79,4637328.81,16,T,041.88582,-087.68903,d0pPpSvw_Anfez6cj3c2-g,111,200710,3713,Chicago
0442833.87,4637330.43,16,T,041.88583,-087.68903,l-Fn-FcxXJDVcVfBdtWRgg,115,201105,3713,Chicago
0442833.96,4637328.31,16,T,041.88581,-087.68903,jLRvahlbscf6DCRdco-NZg,104,201707,3713,Chicago
0442834.60,4637330.12,16,T,041.88583,-087.68902,EyPI5WCWGXwnNYE9WklZDA,289,201407,3713,Chicago
0442835.00,4637329.00,16,T,041.88582,-087.68901,CovBGypkcYVS4rhGilbvkg,285,201507,3713,Chicago
0442835.37,4637329.78,16,T,041.88583,-087.68901,35Id30ivWUXtpn6nScRQRw,290,201805,3713,Chicago
0442835.55,4637329.53,16,T,041.88582,-087.68901,UkA4ggFT60f_JmgiVMVizA,279,201908,3713,Chicago
0442836.15,4637332.27,16,T,041.88585,-087.68900,KKpBpEdpL9lHHp4NWatEHA,281,201808,3713,Chicago
0442837.11,4632057.53,16,T,041.83834,-087.68848,immCPTezyArvm9eQmKRKwQ,055,201806,1,Chicago
0442838.59,4632775.33,16,T,041.84481,-087.68853,qfUHiPEGeeKmatg9UKX77g,253,201610,473,Chicago
0442838.73,4632966.12,16,T,041.84653,-087.68855,LVQeIwEyBfzb2BuCO0VOAQ,214,201106,555,Chicago
0442838.78,4632967.62,16,T,041.84654,-087.68855,5Xi0ysLiy-XBMJNZZBUtBQ,205,201407,555,Chicago
0442838.82,4632965.64,16,T,041.84652,-087.68855,awuKNvFz-CIY_P-O8p1UIQ,211,201907,555,Chicago
0442838.98,4632777.45,16,T,041.84483,-087.68853,tN2XWfDA_d7yR9gvQ6_Y7g,259,201706,473,Chicago
0442839.30,4632770.79,16,T,041.84477,-087.68852,nhxYgz-qsURfiwBFjBSAbg,280,201407,396,Chicago
0442839.38,4632969.29,16,T,041.84655,-087.68854,qRYk_qW1PjyTpZv_6l_UoQ,053,201510,555,Chicago
0442839.48,4632769.93,16,T,041.84476,-087.68852,DemiHZADhFKVv_HkOOMFsA,281,201907,396,Chicago
0442839.48,4632770.15,16,T,041.84476,-087.68852,XpwROQzGE-H-IR923tuzlQ,282,201806,396,Chicago
0442839.59,4632770.63,16,T,041.84477,-087.68852,asD_Cx4AA73CE11419ya6Q,271,200709,396,Chicago
0442839.86,4632776.41,16,T,041.84482,-087.68852,M7MN78Apny4lBEY43m_8MA,249,201106,473,Chicago
0442840.00,4632967.28,16,T,041.84654,-087.68853,Xb-NupHunOqrOItSeAVUPQ,219,201610,555,Chicago
0442840.08,4632775.89,16,T,041.84481,-087.68851,3CpsM9cwcDICt_XLswnUCA,253,201209,473,Chicago
0442840.10,4632769.09,16,T,041.84475,-087.68851,rcJVepEdnusO4PCxHUqZiA,276,201106,396,Chicago
0442840.38,4632770.12,16,T,041.84476,-087.68851,UUjMfsK1IgPbaJw_Bdxn7Q,275,201210,396,Chicago
0442840.39,4632778.23,16,T,041.84483,-087.68851,qAnrpoQZVezI1QSZbCjK2A,242,201806,473,Chicago
0442840.50,4632770.41,16,T,041.84476,-087.68851,DhkD_LGFOJAJIs0lkGsxNw,278,201510,396,Chicago
0442840.67,4632058.79,16,T,041.83835,-087.68844,cW8LTVr3J43nBQRNgFIybw,061,201509,1,Chicago
0442840.91,4632776.46,16,T,041.84482,-087.68850,R_TWJO7plYklFGrhHjz0sg,245,201907,473,Chicago
0442841.11,4632776.14,16,T,041.84482,-087.68850,6uTC2MtOUhGUj1VmuJvRAQ,249,201810,473,Chicago
0442841.19,4632966.71,16,T,041.84653,-087.68852,PpvVjxQHZZiFqoJ1bJ5HXg,224,201806,555,Chicago
0442841.26,4632776.27,16,T,041.84482,-087.68850,uwZPONzbtNCUpv6ecogSdw,251,201509,473,Chicago
0442841.26,4632776.85,16,T,041.84482,-087.68850,sofgsUiqxZ-P07fgeHg9Bg,253,201608,473,Chicago
0442841.46,4632062.12,16,T,041.83838,-087.68843,LOsbDBmlsW4lfBrb3_kbNQ,235,201610,1,Chicago
0442842.03,4632057.95,16,T,041.83835,-087.68842,Q-r2gR-RN-eKofl84TCMvQ,065,201409,1,Chicago
0442842.05,4632058.25,16,T,041.83835,-087.68842,-1IyT_BQU84TAbqvdyw-Fg,061,201907,1,Chicago
0442842.17,4632776.23,16,T,041.84482,-087.68849,yGMEFtLAxxi4qb1CsXyDEA,248,201407,473,Chicago
0442843.34,4633369.12,16,T,041.85016,-087.68853,RMXyfiTzgcxFd1K0A8U23A,326,201506,870,Chicago
0442843.39,4633373.77,16,T,041.85020,-087.68853,w_2MhtaTfpTVCj5_ybAP9Q,155,200709,870,Chicago
0442843.69,4633369.19,16,T,041.85016,-087.68853,goiFLAtmwRtLi-Cg9igegA,319,201907,870,Chicago
0442843.79,4633172.10,16,T,041.84838,-087.68851,EqHiMrNLEFhbz1EL1TpeCg,021,201806,716,Chicago
0442843.96,4633368.82,16,T,041.85015,-087.68852,luPfmaJ6SmBjmoVdRwJLeQ,322,201810,870,Chicago
0442843.99,4632058.94,16,T,041.83836,-087.68840,Qmzg0HKdeUIz3fQlEHGi8w,059,200709,1,Chicago
0442844.19,4633369.17,16,T,041.85016,-087.68852,nquk0hZYyCUo21OL_H1PZw,333,201106,870,Chicago
0442844.31,4632058.03,16,T,041.83835,-087.68839,rYaqTOCetuK0YIdvNYideg,055,201707,1,Chicago
0442844.72,4636559.29,16,T,041.87889,-087.68882,WzKLgc57aHk2l2QiLn_1Cw,132,201510,3160,Chicago
0442845.31,4633368.98,16,T,041.85015,-087.68851,z0XiH3gNN-Ucw5p1BPhtIg,325,201610,870,Chicago
0442845.42,4636552.80,16,T,041.87883,-087.68881,4mAHhESefOhb4g_31Dqgcg,146,201808,3160,Chicago
0442845.61,4636553.05,16,T,041.87883,-087.68881,gZ5gKLNjC5LKoEFhAPuo0Q,155,201810,3160,Chicago
0442846.25,4636560.11,16,T,041.87889,-087.68880,48a7FLwwdPYPPU4j01trnw,156,201507,3160,Chicago
0442846.60,4636553.28,16,T,041.87883,-087.68880,XXvZjnKGDYyT_vs6-5TnMg,160,201805,3160,Chicago
0442846.65,4633172.03,16,T,041.84838,-087.68847,fKE3y4lwtEpbpBl4UvZMqg,018,201407,716,Chicago
0442846.87,4636552.43,16,T,041.87883,-087.68880,Ba-JrrUuTyVzLAwHYSWCPA,155,201407,3160,Chicago
