UTM1,UTM2,UTMzone,category,lat,lon,panoid,numeric,yearMonth,place_id,city
0439341.32,4473118.64,30,T,040.40647,-003.71487,Nac5mlosjnSULEUlU7o1SA,150,200805,696,Madrid
0439341.45,4473118.55,30,T,040.40647,-003.71487,_qBw2_0GdyblWYwFDP7SGQ,151,201905,696,Madrid
0439342.74,4473120.44,30,T,040.40648,-003.71486,XynV4mEmH0szvrIU-11Epg,158,201808,696,Madrid
0439343.36,4473120.26,30,T,040.40648,-003.71485,8uaZDNIHbd-pKxUiIL24Fw,151,201805,696,Madrid
0439343.57,4473120.78,30,T,040.40649,-003.71485,vsHPbVOTqNQRW9wm6RCWlg,157,201206,696,Madrid
0439343.89,4473121.74,30,T,040.40650,-003.71484,Ci6FQRFMrCfgZs3DnycOTQ,163,201506,696,Madrid
0439343.91,4473121.14,30,T,040.40649,-003.71484,-owlj5PU-Bm9nxzaB3OmMA,153,201310,696,Madrid
0439357.81,4471848.62,30,T,040.39503,-003.71456,E_Q7NOIscJN8wSI8z_Zsyg,146,201402,58,Madrid
0439358.33,4471848.11,30,T,040.39502,-003.71455,ZKKFkujenxY7vxUc-EZeQg,157,201905,58,Madrid
0439361.72,4471847.81,30,T,040.39502,-003.71451,aIByJhFlWaRTyrwpcIjeiw,140,200806,58,Madrid
0439362.14,4471846.19,30,T,040.39501,-003.71451,8aoTNciRoinVh3JM9uwzGw,143,201807,58,Madrid
0439362.73,4471845.76,30,T,040.39500,-003.71450,1sB67SdCrzE1xqRada0E4w,148,201706,58,Madrid
0439366.33,4474835.80,30,T,040.42194,-003.71474,2G2yUNErD44UZ9aq0-7N2g,037,201402,1624,Madrid
0439367.75,4474835.01,30,T,040.42193,-003.71473,ukSC-e-Erg4IIHZylS_ejg,034,201404,1624,Madrid
0439368.57,4474834.39,30,T,040.42193,-003.71472,HN2oc9L5vKplip3crXJCRw,036,201905,1624,Madrid
0439368.65,4472177.86,30,T,040.39800,-003.71446,OBZF3KSCFeqFd9O4qHZrEw,087,201310,232,Madrid
0439369.61,4474833.59,30,T,040.42192,-003.71470,oSmOKn97xrM5vt0ogJrdRA,047,201505,1624,Madrid
0439369.65,4474833.45,30,T,040.42192,-003.71470,zRYyzpw_Ggzf8NsRwiz2Mg,045,201805,1624,Madrid
0439370.80,4472531.96,30,T,040.40119,-003.71447,3-zIC_wu-8fbqhpYBXBmcw,278,201709,406,Madrid
0439370.87,4474832.59,30,T,040.42191,-003.71469,HxdweiA5WFsesWTeykQuJw,052,201105,1624,Madrid
0439370.96,4472176.41,30,T,040.39798,-003.71443,CQedWx0kRBtjWroTmJoa8A,072,200805,232,Madrid
0439371.18,4472176.34,30,T,040.39798,-003.71443,FjKUk0WtzoNUbEJjswvh2A,066,201206,232,Madrid
0439371.36,4472530.48,30,T,040.40117,-003.71446,LLNIkrgbWrfCAOLAcKzU6Q,293,201905,406,Madrid
0439371.43,4472530.94,30,T,040.40118,-003.71446,FxRKK0RXpB83_OKKGnc0FQ,285,201805,406,Madrid
0439371.88,4474832.16,30,T,040.42191,-003.71468,iJynAkn5tMQUx-3kO1cNNA,052,201706,1624,Madrid
0439371.96,4472176.64,30,T,040.39798,-003.71442,hTTA1ZbIpX_tJvj2gCN9Nw,076,201808,232,Madrid
0439371.98,4472172.21,30,T,040.39794,-003.71442,yDqgiprHIAas-l1DEkb-LA,070,201402,232,Madrid
0439372.36,4472533.22,30,T,040.40120,-003.71445,xlBDYmeaVn7CCB7miaHSrQ,276,201808,406,Madrid
0439372.63,4474831.58,30,T,040.42190,-003.71467,Tvjok8x8C5PV3eMYPH-V8w,043,201604,1624,Madrid
0439373.32,4472532.43,30,T,040.40119,-003.71444,RMQrCSYufSUx7daLFMuojA,287,201104,406,Madrid
0439373.44,4472533.23,30,T,040.40120,-003.71444,m71qpW19KHuIXji07e-2ew,282,201310,406,Madrid
0439373.81,4472531.57,30,T,040.40118,-003.71443,hR80jlS6ErhZhu9xxbyYLw,296,201705,406,Madrid
0439373.84,4472526.48,30,T,040.40114,-003.71443,w-K3NoQtiiIu8rW2hJYp0Q,295,201402,406,Madrid
0439373.94,4472174.78,30,T,040.39797,-003.71440,m9Cawj_bRLIp6KGVcuNwRQ,072,201505,232,Madrid
0439374.71,4472532.31,30,T,040.40119,-003.71442,A0aC6t4mBosvwHCl-wTmpw,295,201504,406,Madrid
0439374.81,4472533.17,30,T,040.40120,-003.71442,K59RIZ3Y_n8CTDLkRMcrYQ,295,200809,406,Madrid
0439376.48,4471975.17,30,T,040.39617,-003.71435,Cg1NGaaC924fU2e7A1NNLQ,244,200806,116,Madrid
0439376.94,4475432.98,30,T,040.42732,-003.71467,QggpRYZIcJW6SHwhd1ZqwQ,336,201807,1915,Madrid
0439377.16,4475433.24,30,T,040.42732,-003.71467,nJF3VotPW5WQw0m7z-DKNw,322,201402,1915,Madrid
0439377.18,4475433.91,30,T,040.42733,-003.71467,xO291Ua5oZ5Jt8q_hhbzog,337,201310,1915,Madrid
0439377.19,4473190.09,30,T,040.40711,-003.71446,jt7i06gr8KAmck6ltLPQZg,089,200805,754,Madrid
0439377.36,4471974.92,30,T,040.39617,-003.71434,r1VWOLhouKJciagu-eg9Vw,229,201310,116,Madrid
0439377.50,4473190.63,30,T,040.40712,-003.71445,PxTiRVMqbCwqh6qBo5dTEA,087,201206,754,Madrid
0439377.59,4475433.71,30,T,040.42733,-003.71467,Mng8sVv2YjWC7-8x_KseDw,332,201706,1915,Madrid
0439377.64,4471975.59,30,T,040.39617,-003.71434,tzqpIOJPcQoGYBHvWQwmPw,220,201205,116,Madrid
0439377.91,4471974.65,30,T,040.39617,-003.71433,knS9z4k5vkbrMMM3JV04JA,239,201402,116,Madrid
0439378.15,4473190.18,30,T,040.40712,-003.71445,glrQBzWYp4eJUR6w0ccZzg,098,201805,754,Madrid
0439378.31,4473188.42,30,T,040.40710,-003.71444,T8kn6gL5DHAVSAh7ZzwETA,095,201402,754,Madrid
0439378.32,4475434.78,30,T,040.42734,-003.71466,wYZHb-sdXtLO_zxxqjvaJQ,329,201404,1915,Madrid
0439378.74,4471975.17,30,T,040.39617,-003.71432,NqUgOIPijwGM-NaYvxnVaQ,246,201905,116,Madrid
0439379.06,4473292.96,30,T,040.40804,-003.71445,ThtGno7X2i-w91atFqN-Tg,008,201403,812,Madrid
0439379.44,4473187.20,30,T,040.40709,-003.71443,wYTkOKLoY2wj2RrZ5CA6Ng,276,201605,754,Madrid
0439379.60,4475436.04,30,T,040.42735,-003.71464,r1VJdvbwV7DbJtm7MO5RKw,335,201505,1915,Madrid
0439379.61,4473292.56,30,T,040.40804,-003.71444,IiFXc5Us7GRxRgGOetM7sw,359,201506,812,Madrid
0439379.75,4473292.50,30,T,040.40804,-003.71444,Ri7qShkyZqPqFqOjP2IDBA,013,201310,812,Madrid
0439379.79,4471975.56,30,T,040.39617,-003.71431,Tu_fsPu27mWlTpJOjFbYNQ,236,201706,116,Madrid
0439380.05,4471975.76,30,T,040.39618,-003.71431,gvvECtobIsgVfP0TKBIEpQ,226,201505,116,Madrid
0439380.09,4475436.93,30,T,040.42736,-003.71464,XPneBauknnu9renOn8kbMw,332,200805,1915,Madrid
0439380.17,4475436.41,30,T,040.42735,-003.71464,N5XBKAAFl_ymdH40KSXChw,338,201905,1915,Madrid
0439380.37,4471975.78,30,T,040.39618,-003.71430,7Pan4cWOwuB4cv_7ZgGdCA,235,201807,116,Madrid
0439380.40,4473187.95,30,T,040.40710,-003.71442,f1D3HJRIn_CNIlg5zDFWkQ,096,201905,754,Madrid
0439380.51,4473292.28,30,T,040.40804,-003.71443,uiURNSWptvIV5WGMYzJOgg,015,201205,812,Madrid
0439381.01,4475437.61,30,T,040.42736,-003.71463,h7Xqdku7IcdIfRoVMZCmqg,347,201604,1915,Madrid
0439381.31,4471975.55,30,T,040.39617,-003.71429,vLYL7o4BS8n2dvNtR2aYUw,239,201604,116,Madrid
0439381.52,4473291.04,30,T,040.40802,-003.71442,FGCE8C-OQ_RqbobdNxLBkA,006,200805,812,Madrid
0439385.33,4474079.80,30,T,040.41513,-003.71445,RhnKwbalfx1o1Z6p5nJsKw,104,201805,1218,Madrid
0439385.56,4474079.13,30,T,040.41512,-003.71444,qV72pjebQYy6ME5PaMDWlw,092,201605,1218,Madrid
0439386.66,4473718.28,30,T,040.41187,-003.71440,aFonD3rF_6aNXC3RSpK_zw,007,201605,1044,Madrid
0439386.94,4473718.15,30,T,040.41187,-003.71439,BWIOczOEO2dr-cluTNhREQ,018,201709,1044,Madrid
0439387.23,4473718.35,30,T,040.41187,-003.71439,gUDOOg7R5J4NYPKlQRMmnA,010,201310,1044,Madrid
0439387.47,4472980.62,30,T,040.40523,-003.71432,_3qZRC5Y7GLn0mr-aSR3AQ,093,200807,638,Madrid
0439387.79,4474079.27,30,T,040.41513,-003.71442,nnXc6nhE_t9bAJ2ka0KvXw,103,201709,1218,Madrid
0439387.84,4473718.32,30,T,040.41187,-003.71438,OqAQGbUWwcDIzep-jJ9OjQ,006,201104,1044,Madrid
0439387.93,4473718.49,30,T,040.41188,-003.71438,Bt04wnv6NtLpCwfW1OJd-A,015,200805,1044,Madrid
0439387.95,4473718.38,30,T,040.41187,-003.71438,OLLkyZHNr8_z5cqv62GujQ,007,201402,1044,Madrid
0439388.02,4473717.77,30,T,040.41187,-003.71438,Juy6lm7B6vIxTbrzE29g8g,022,201908,1044,Madrid
0439388.19,4473718.25,30,T,040.41187,-003.71438,MGs2Pe7YnWRwb0LF5zMr_w,026,201808,1044,Madrid
0439388.20,4473717.72,30,T,040.41187,-003.71438,IRdfedlpoqrTJqTz3kogow,005,201805,1044,Madrid
0439388.51,4474079.38,30,T,040.41513,-003.71441,LRWlJQUe2fulMXTSMg8KyQ,110,201402,1218,Madrid
0439388.87,4472979.58,30,T,040.40522,-003.71430,2s2Z27yPvUsDigDsyfpKdQ,102,201605,638,Madrid
0439388.96,4472979.25,30,T,040.40522,-003.71430,-yqEyGRMhvzHCPSV6By3hA,097,201310,638,Madrid
0439389.11,4474078.59,30,T,040.41512,-003.71440,2hCN9icIv2q0Zn9Z6xFfwA,099,200805,1218,Madrid
0439389.18,4473718.50,30,T,040.41188,-003.71437,3qfNkhMvhkYj6sJ2u78lwA,019,201505,1044,Madrid
0439389.26,4472979.44,30,T,040.40522,-003.71429,Xc5UgiBL563aZ2MorThtZA,098,200805,638,Madrid
0439389.35,4474078.86,30,T,040.41512,-003.71440,5qYWjUD3qMapiOmXOvewFg,110,201908,1218,Madrid
0439389.48,4472979.15,30,T,040.40521,-003.71429,qCGBwNhmpVAOd5X2IVKevA,101,201808,638,Madrid
