UTM1,UTM2,UTMzone,category,lat,lon,panoid,numeric,yearMonth,place_id,city
0432662.16,0690559.74,18,N,006.24711,-075.60872,q4D6eHbksoYEsLy2aaCF7w,368,201306,848,Medellin
0432662.24,0690560.79,18,N,006.24711,-075.60872,XnTUzrgEZGvgKrB53ptvuA,383,201812,848,Medellin
0432662.42,0690565.30,18,N,006.24716,-075.60872,owGUC0jfj4N6VzBZHk34jg,045,201904,848,Medellin
0432662.81,0690557.26,18,N,006.24708,-075.60872,knvOQi5rMNDO1RKkGNjF7Q,194,201403,848,Medellin
0432662.95,0690560.85,18,N,006.24712,-075.60872,mhsDBAT3m3BpXhIVPSiaXA,377,201707,848,Medellin
0432683.33,0690224.42,18,N,006.24407,-075.60853,nqYnr3gzJkzcurVpdqqscg,428,201707,689,Medellin
0432683.51,0690654.43,18,N,006.24796,-075.60853,ELWr4wA6d1gpvwRMzR4RzA,338,201306,901,Medellin
0432684.12,0689150.10,18,N,006.23435,-075.60851,DNrqZUzydqKljhI4LuG52g,315,201812,159,Medellin
0432684.18,0690225.00,18,N,006.24408,-075.60852,b-bfdHk8VevChhR2Jgv_-w,428,201308,689,Medellin
0432684.53,0689558.04,18,N,006.23804,-075.60851,oOw7wzlILHEw7A4DtKvf6Q,211,201509,371,Medellin
0432685.33,0689997.73,18,N,006.24202,-075.60851,fPIEnPPfRJ_Hb7wycC8DCg,486,201603,583,Medellin
0432685.60,0689997.47,18,N,006.24202,-075.60850,twY6GPggb9hxgoY8frF1yA,499,201305,583,Medellin
0432685.67,0689148.02,18,N,006.23434,-075.60850,fTUpXBlZkoBPBsNR5oId3w,119,201901,159,Medellin
0432686.02,0689150.08,18,N,006.23435,-075.60849,DgQ9sCd0-o5ujb8WkMzCyw,116,201310,159,Medellin
0432686.09,0690222.06,18,N,006.24405,-075.60850,68CkHrWpZ0xr_QFhLtrC1g,243,201305,689,Medellin
0432686.22,0690651.80,18,N,006.24794,-075.60851,YouMpxYipOEQkVTRgWQxLA,519,201812,901,Medellin
0432686.54,0690651.39,18,N,006.24793,-075.60850,KIYd4hahKGMPKByQW5FsWg,528,201509,901,Medellin
0432686.69,0690652.06,18,N,006.24794,-075.60850,fXV3jiRFS-dWVMpW7cqPVQ,510,201904,901,Medellin
0432686.70,0689147.45,18,N,006.23433,-075.60849,VuuR13U5pE4pvqIXUpMaSg,133,201906,159,Medellin
0432686.83,0689995.04,18,N,006.24200,-075.60849,dCaATIF9zS5TyzWixLH8AQ,312,201707,583,Medellin
0432686.85,0689553.71,18,N,006.23801,-075.60849,8JrZIaUiLJmGqb2gfWsCIg,222,201906,371,Medellin
0432686.96,0690222.61,18,N,006.24406,-075.60849,p5iFLARMbHlMb9GPUlZqtw,237,201402,689,Medellin
0432687.45,0690223.42,18,N,006.24406,-075.60849,7BIiAITIbUdC3tyhGFXB_Q,242,201312,689,Medellin
0432687.68,0689552.25,18,N,006.23799,-075.60848,Ow1zz0lkoS_ZprGKEgI4yw,203,201812,371,Medellin
0432688.10,0689150.39,18,N,006.23436,-075.60847,JRSlRws8t-xVcNTamn5f3g,294,201707,159,Medellin
0432688.18,0689148.22,18,N,006.23434,-075.60847,ZLxcTH94mI5lf_22jjZ5Wg,117,201603,159,Medellin
0432688.53,0689998.00,18,N,006.24202,-075.60848,jfalCkitDh1C0obtnc404A,478,201310,583,Medellin
0432688.60,0689150.84,18,N,006.23436,-075.60847,Rf4hVvQQuOCUAV9kFoJKUg,307,201306,159,Medellin
0432688.72,0689997.46,18,N,006.24202,-075.60848,vbYpQuEKvDtKsJBZLcQmBQ,481,201509,583,Medellin
0432689.39,0690649.42,18,N,006.24792,-075.60848,fTFDlZ7-Rm_u0zpTMGEiGg,503,201312,901,Medellin
0432689.79,0689657.08,18,N,006.23894,-075.60846,2sj-9NQlQB6df8J3_lZkXQ,511,201308,424,Medellin
0432690.05,0689656.69,18,N,006.23894,-075.60846,m9apwuKHjym10QBUrWl2Tw,515,201401,424,Medellin
0432690.08,0689554.88,18,N,006.23802,-075.60846,RRgc2V6_U3kpFRa2N9IioQ,385,201306,371,Medellin
0432690.28,0689656.59,18,N,006.23894,-075.60846,RytuCJbjiKUTfDTkJ4t02w,529,201901,424,Medellin
0432690.36,0689657.65,18,N,006.23895,-075.60846,Sbkn2f7UF77tPQiEaP_Rtg,525,201707,424,Medellin
0432690.40,0689658.36,18,N,006.23895,-075.60846,oipd7zalDZfz1nlfEi8eYw,508,201509,424,Medellin
0432690.80,0689658.12,18,N,006.23895,-075.60845,mCoEYACvuwSyWp-7fDfpuA,516,201402,424,Medellin
0432690.84,0689661.29,18,N,006.23898,-075.60845,95p2KoK_55P0tGMLT4ZEEQ,519,201906,424,Medellin
0432690.94,0689657.68,18,N,006.23895,-075.60845,u68yxjCKR0crD8ZJau1LCQ,510,201311,424,Medellin
0432691.13,0689660.19,18,N,006.23897,-075.60845,L0jmOoibKwCCP7ZvglMWmQ,524,201404,424,Medellin
0432691.59,0689662.96,18,N,006.23899,-075.60845,WpWF9FWnla9nJdu7lyVgbg,512,201812,424,Medellin
0432695.29,0691322.24,18,N,006.25400,-075.60843,VoqVsdwFGUhJWmolS4P2jw,385,201403,1219,Medellin
0432696.18,0691324.61,18,N,006.25402,-075.60842,Hv_igJWgT8g1t1dWT5S4OQ,372,201904,1219,Medellin
0432696.21,0691210.48,18,N,006.25299,-075.60842,fHn_bZ5Ytf0m3LE9nRCtWA,429,201707,1166,Medellin
0432696.29,0691321.80,18,N,006.25400,-075.60842,mb8O6LN-_biViONdV7wcAg,384,201408,1219,Medellin
0432696.35,0691322.32,18,N,006.25400,-075.60842,afF037gSLCfDvGFBWf2N6w,365,201306,1219,Medellin
0432696.50,0691210.27,18,N,006.25299,-075.60842,i_PiC0ZGiBIufdlHKR-OYg,450,201312,1166,Medellin
0432697.32,0691326.06,18,N,006.25404,-075.60841,woarMObAg3__lV2sqBwWuA,387,201707,1219,Medellin
0432697.37,0689416.98,18,N,006.23677,-075.60839,tbi6v6d13r5QS3_VHKbLXw,326,201306,318,Medellin
