UTM1,UTM2,UTMzone,category,lat,lon,panoid,numeric,yearMonth,place_id,city
0569747.40,2851891.39,17,R,025.78349,-080.30434,HHWkRZU4d3hn9Ge3_BblIA,003,201701,6500,Miami
0569747.55,2851891.55,17,R,025.78349,-080.30434,9D1XrUK3nPjfjrlFffP7WA,357,201805,6500,Miami
0569748.34,2851891.69,17,R,025.78349,-080.30433,uVBagWo1XDbADo6CrQah0w,013,201612,6500,Miami
0569748.43,2851890.76,17,R,025.78348,-080.30433,RRaemohE728HywnNMPlURQ,012,202003,6500,Miami
0569749.82,2851891.49,17,R,025.78349,-080.30432,e6lCvCsqBoZapU6v8aqAQw,359,201905,6500,Miami
0569750.46,2851886.96,17,R,025.78345,-080.30431,MTDEMvR6lVJdQg3fsy1LoQ,010,201403,6500,Miami
0569750.66,2851891.15,17,R,025.78348,-080.30431,k64TM8jFTtnDqBOYILxA2w,013,201504,6500,Miami
0569751.64,2851229.22,17,R,025.77751,-080.30434,Y-qvOVu9qB29iuVjAL32qQ,278,201607,5627,Miami
0569751.70,2851229.05,17,R,025.77751,-080.30434,790AZV2d-yEmqXDvukHA_A,279,201103,5627,Miami
0569751.95,2851229.13,17,R,025.77751,-080.30433,e3SeYLXHv2AQ84OOBlKc3g,276,201504,5627,Miami
0569752.62,2851891.87,17,R,025.78349,-080.30429,7yadoL5pzFEHwzBh5y7PTw,354,201404,6500,Miami
0569753.77,2851226.39,17,R,025.77748,-080.30431,JVausunOvuRvUwh3RMI_vA,282,201705,5627,Miami
0569754.42,2851226.68,17,R,025.77748,-080.30431,Q4rGc4iF1e3Uz-fvcOdH4A,282,201402,5627,Miami
0569754.57,2851226.75,17,R,025.77748,-080.30431,k9sgAktT2ozKRjoJ6-RWUA,279,201901,5627,Miami
0569754.74,2851226.17,17,R,025.77748,-080.30430,w-7DLcu57-cdNwGgqBHyag,288,202012,5627,Miami
0569754.93,2851226.83,17,R,025.77749,-080.30430,crJkDg7hqoHaNguR1XIW8w,291,200906,5627,Miami
0569755.36,2851226.58,17,R,025.77748,-080.30430,3sLPuuXpPkoJB_BkxB7Nrw,288,202002,5627,Miami
0569756.94,2850707.71,17,R,025.77280,-080.30431,OU2_yQKjGADBp89H1knoSw,226,200711,5254,Miami
0569757.03,2850704.16,17,R,025.77277,-080.30431,YeoKpTAMIbso1xdOibGYHg,227,200906,5254,Miami
0569757.11,2850702.68,17,R,025.77275,-080.30431,PMQPnb-cAhyaWIcZjoPPbQ,226,201306,5254,Miami
0569757.33,2851227.02,17,R,025.77749,-080.30428,48R00OImxko38K8pFjze-g,290,201804,5627,Miami
0569758.82,2850708.94,17,R,025.77281,-080.30429,ELKZO80BuKGyKSWSDoiE6g,045,201402,5254,Miami
0569759.17,2850711.04,17,R,025.77283,-080.30429,7L_4yVwKJzRLAhToWhUxNg,049,201103,5254,Miami
0569759.62,2850706.08,17,R,025.77278,-080.30428,LklwYHNNoMdhi4YVNClaBg,054,202012,5254,Miami
0569759.79,2850702.40,17,R,025.77275,-080.30428,Y_p8fiO8VhBKFtmINMK5iw,053,201903,5254,Miami
0569761.37,2850601.32,17,R,025.77184,-080.30427,rDo2mwn2avD648pGFA4IDg,240,200711,5122,Miami
0569764.17,2850601.47,17,R,025.77184,-080.30424,hY2ullnVXi6koK6WPpQ6cg,063,201504,5122,Miami
0569764.20,2850602.02,17,R,025.77184,-080.30424,5j8W9i_pBux9_xR2jfnZgw,059,201510,5122,Miami
0569764.46,2850600.23,17,R,025.77183,-080.30424,t3lZou20tn7gEbUcuZAFmA,067,201903,5122,Miami
0569764.52,2850603.22,17,R,025.77185,-080.30424,0_95tqQApkQo-ejg2BIGRA,065,201402,5122,Miami
0569764.62,2850595.43,17,R,025.77178,-080.30424,P4GA7pz68-j5ZterBBtyHA,058,200906,5122,Miami
0569764.69,2850596.64,17,R,025.77179,-080.30424,McMc24By8Dg02M-Fy9ptIg,055,202003,5122,Miami
0569764.74,2850598.76,17,R,025.77181,-080.30424,6DBZQvOOTij2uk8b4XFqqw,063,202012,5122,Miami
0569765.85,2851231.50,17,R,025.77753,-080.30419,15ztjSBiBgp4yUEovchQJg,216,201504,5754,Miami
0569766.78,2851232.58,17,R,025.77754,-080.30418,UZw7zUqvTNxAHDGMA_vU3w,222,201805,5754,Miami
0569767.81,2851231.64,17,R,025.77753,-080.30417,bTrPTTsqLgu2jShDlI-XDw,222,201103,5754,Miami
0569768.24,2851229.15,17,R,025.77751,-080.30417,_3SGjyY_YRCq06Gt6cBIMA,204,201705,5754,Miami
0569769.27,2851229.01,17,R,025.77750,-080.30416,b2sZZFtDVmTMMSH79fwb6w,220,202012,5754,Miami
0569769.27,2851229.51,17,R,025.77751,-080.30416,vqH0QOqfo8Ww6spBkqXviQ,208,200906,5754,Miami
0569769.47,2851229.58,17,R,025.77751,-080.30416,I6Xsjw4N2vjeg93TJrs3CQ,221,201901,5754,Miami
0569769.70,2851232.48,17,R,025.77754,-080.30416,4dLCWhxh3zpDPuQMVR1Umw,213,201607,5754,Miami
0569770.10,2851229.72,17,R,025.77751,-080.30415,X2ejIfieEf46_4okTVkXaA,217,202002,5754,Miami
0569771.67,2851230.05,17,R,025.77751,-080.30414,MEcZOim_n82JPCEOgbn4og,213,201402,5754,Miami
0569772.57,2853050.61,17,R,025.79395,-080.30403,2oEB47RR8U2EsiO0SjgW-Q,048,201903,7875,Miami
0569773.05,2850373.99,17,R,025.76978,-080.30417,mQ_PqfcWp4sbAkvXMyJwvg,136,201103,4875,Miami
0569773.61,2853049.84,17,R,025.79395,-080.30402,NQfTfDXM_iev1ng7dMPoGQ,035,201606,7875,Miami
0569773.69,2853050.01,17,R,025.79395,-080.30402,kNOvkGOo5Bh8U9zORiiRMw,052,201705,7875,Miami
0569774.37,2853046.64,17,R,025.79392,-080.30401,TA0ptTgdB4zacOn857q1nw,050,201504,7875,Miami
0569774.77,2853046.38,17,R,025.79391,-080.30401,CYlQQBgWHtTkyzBoFS0fsg,038,201805,7875,Miami
0569774.96,2850374.79,17,R,025.76979,-080.30415,z7Y7USi3pRg7dg9RpVDJiA,157,201510,4875,Miami
0569775.35,2850379.24,17,R,025.76983,-080.30414,NVlFu4UwDJsP4D_6v8TXjw,151,201104,4875,Miami
0569775.36,2850376.63,17,R,025.76981,-080.30414,6tYqD78blDJTDyu-32p1cQ,135,202012,4875,Miami
0569775.66,2850376.85,17,R,025.76981,-080.30414,khGu4OJw2oFGRIl6uBCpQA,148,201705,4875,Miami
0569775.74,2853049.26,17,R,025.79394,-080.30400,URk8mjJbmM3Y9bWj3nuBUA,032,201708,7875,Miami
0569775.98,2853050.81,17,R,025.79395,-080.30400,Y_FEEFJyrL5T_T-GgmKK1Q,032,201402,7875,Miami
0569776.02,2852047.98,17,R,025.78490,-080.30405,ouq-e7U3_krspvTjxNfEsg,218,201805,6751,Miami
0569776.23,2852045.29,17,R,025.78487,-080.30405,HGTuc2Rw91b2JnqD3-GMfA,197,201903,6751,Miami
0569776.51,2853050.05,17,R,025.79395,-080.30399,2c9k6yepQ0PHANdCPR1L1A,038,202003,7875,Miami
0569777.05,2850268.54,17,R,025.76883,-080.30413,ESKvaMDpUotkcz65BMw2Tw,066,201510,4754,Miami
0569777.11,2853047.87,17,R,025.79393,-080.30399,lNQ8vB7ypiUHNYXp4jo-7A,030,201103,7875,Miami
0569777.47,2850376.42,17,R,025.76981,-080.30412,kwTbD_UVlUmE0M_rES8QIA,146,201504,4875,Miami
0569778.15,2852047.21,17,R,025.78489,-080.30403,bsn0KgXQxHRRmKAfJmCiAg,207,200801,6751,Miami
0569778.50,2850376.36,17,R,025.76980,-080.30411,tfNVoaX9VmKF1t2vVUNYvg,140,201903,4875,Miami
0569778.79,2850378.08,17,R,025.76982,-080.30411,7jPoV46vQ6FHv1QT06QPOQ,148,201403,4875,Miami
0569778.91,2852044.21,17,R,025.78486,-080.30402,QO7W4uUfk-zEHB5XBKCOMQ,206,202003,6751,Miami
0569778.96,2850376.85,17,R,025.76981,-080.30411,1dGK4nmttu9SWy1Mfhz0ZQ,149,201805,4875,Miami
0569779.23,2852045.02,17,R,025.78487,-080.30402,foYnIcYQKML-LaU30LC2OA,203,201103,6751,Miami
0569779.32,2850374.18,17,R,025.76979,-080.30410,P2Poxk5GvtbH4DsAX5rLIg,138,201306,4875,Miami
0569779.37,2852047.88,17,R,025.78490,-080.30402,VEFOsAbYIyHG-h3BKDY4Hw,219,201504,6751,Miami
0569779.38,2850274.65,17,R,025.76889,-080.30411,nU7Lq54VxaDQCXaUSS9UKA,223,201103,4754,Miami
0569779.84,2850276.18,17,R,025.76890,-080.30410,iRRmhtj3ERiXGkzSfQySzw,223,201104,4754,Miami
0569779.88,2850272.63,17,R,025.76887,-080.30410,Qk7MePOHYuQfaY8OHw-_EA,229,202012,4754,Miami
0569780.10,2850274.51,17,R,025.76889,-080.30410,RMv-ApdfK-VapHv9bumUcw,219,201705,4754,Miami
0569782.67,2850272.90,17,R,025.76887,-080.30408,7-48O-3XLSyMQs0t2oxEYg,240,201504,4754,Miami
0569782.97,2850275.50,17,R,025.76889,-080.30407,QhqqumN5FELYrufvNy5qzg,231,201403,4754,Miami
0569783.07,2850272.22,17,R,025.76886,-080.30407,bQNh_KGIStGDnWN6lx67cg,243,201903,4754,Miami
0569783.08,2850273.14,17,R,025.76887,-080.30407,JFmAFhKqFEap7JYaZFVD3Q,226,201805,4754,Miami
0569784.60,2850158.95,17,R,025.76784,-080.30406,t33so5nDGzk3hKaziUdewA,198,201510,4628,Miami
0569784.74,2850158.52,17,R,025.76784,-080.30406,2W3r6K0-MO5o3TFf_lqyMg,213,201104,4628,Miami
0569784.78,2850162.42,17,R,025.76787,-080.30406,SPUZJK66mKi1lIm0tex2tg,222,201705,4628,Miami
0569784.82,2850158.08,17,R,025.76783,-080.30406,w6Z_ZFUrjF7ddK7YvMPwUQ,211,202012,4628,Miami
0569786.70,2849150.48,17,R,025.75874,-080.30410,rURvpm40j9gD2CuPH9DO6w,093,201402,3500,Miami
0569787.06,2851255.96,17,R,025.77775,-080.30398,h5CyaTtz6j-uaixvlmXp4A,065,201612,5873,Miami
