UTM1,UTM2,UTMzone,category,lat,lon,panoid,numeric,yearMonth,place_id,city
0476355.38,4976144.91,15,T,044.93834,-093.29967,ialvv2bzjG5rxqT7Hg8yrA,283,201905,0,Minneapolis
0476356.00,4976147.22,15,T,044.93836,-093.29967,uPazrYMVtAzbJbvKpt2olw,297,201708,0,Minneapolis
0476356.33,4976149.68,15,T,044.93838,-093.29966,xLmT78zhJ-9ZVW12BYMLNg,285,201611,0,Minneapolis
0476356.90,4976142.97,15,T,044.93832,-093.29965,CwHmiTJt-Jh4Pkwj_iPH1A,294,201109,0,Minneapolis
0476357.10,4978359.40,15,T,044.95827,-093.29976,bJWcvTuEnUtL_0PKq-2REw,124,201907,1820,Minneapolis
0476357.73,4976360.11,15,T,044.94028,-093.29965,7cTtXi1a4fhUAvmcE8OSHQ,304,201905,182,Minneapolis
0476357.77,4978357.41,15,T,044.95826,-093.29975,wdvJayLINm4FifHeEnM-Nw,111,201309,1820,Minneapolis
0476357.83,4976359.80,15,T,044.94027,-093.29965,qWhP15F7YWbQK3S2ezdfPg,133,201611,182,Minneapolis
0476357.92,4978355.79,15,T,044.95824,-093.29975,5VNZf3dMf9ovUgR0lToIug,111,201109,1820,Minneapolis
0476358.59,4976359.27,15,T,044.94027,-093.29964,tAnmo5w00zq5xlezDeFgVQ,126,201708,182,Minneapolis
0476359.20,4978356.92,15,T,044.95825,-093.29973,6VrDm6kjHkhZ14Gqofltsg,294,201409,1820,Minneapolis
0476359.30,4976359.74,15,T,044.94027,-093.29963,oXNdbcSqI1JvBfybw91Ihg,121,201109,182,Minneapolis
0476359.62,4978579.25,15,T,044.96025,-093.29973,iiz90l1rBaec8P15PvMafA,065,200707,2002,Minneapolis
0476359.81,4978362.91,15,T,044.95831,-093.29972,xi1NsJPxfHLWwNTurdiQ_A,299,201106,1820,Minneapolis
0476359.85,4976581.94,15,T,044.94227,-093.29964,Dgb3pIunyQRaZNewK-fj7Q,341,201905,364,Minneapolis
0476359.87,4976362.64,15,T,044.94030,-093.29963,7ldyfkvRKF6VPUL3iTtdGw,306,201409,182,Minneapolis
