UTM1,UTM2,UTMzone,category,lat,lon,panoid,numeric,yearMonth,place_id,city
0451990.30,5545565.26,33,U,050.06043,0014.32925,xGIbUmCdgCKR0glKaKboKQ,339,201204,943,PRG
0451990.82,5545566.47,33,U,050.06044,0014.32926,263Fx7pk4k5Lq6jAMnpxbw,359,200905,943,PRG
0451990.89,5545563.94,33,U,050.06041,0014.32926,NjnMzR0sDSa9RUG-ZZ7ztg,532,201909,943,PRG
0451990.89,5545565.69,33,U,050.06043,0014.32926,Ro7QIi_Az9Xn5sRmgYKQVw,337,201706,943,PRG
0451991.41,5545565.32,33,U,050.06043,0014.32927,fiitM_nv1PXt1cC6pQLX6g,356,201405,943,PRG
0452006.14,5545711.52,33,U,050.06174,0014.32946,v-JP01t1gdvvLVEtvLDoyQ,276,201909,1005,PRG
0452006.58,5545711.24,33,U,050.06174,0014.32946,YkE2ObgZhJ94BCf03pJNkA,452,201405,1005,PRG
0452006.96,5543371.40,33,U,050.04070,0014.32976,qGQDkm2NQGQxB9Vl1xWLKw,153,201405,144,PRG
0452007.17,5545710.52,33,U,050.06173,0014.32947,OwhfPNhUfbr1TAloq5HTAw,479,200905,1005,PRG
0452007.76,5543369.84,33,U,050.04068,0014.32977,LqDiT2S4iWz64nJnXyLKtA,334,201204,144,PRG
0452009.49,5543371.71,33,U,050.04070,0014.32980,Hj79K7VX63DWd6snXVY--w,309,201903,144,PRG
0452009.71,5546288.68,33,U,050.06693,0014.32943,QEhiX6lNEZIR1QqVbPPV9w,126,201903,1192,PRG
0452011.39,5546289.15,33,U,050.06694,0014.32946,0ru66xZLvt4hfV4oL2I9hA,120,201706,1192,PRG
0452011.55,5546290.12,33,U,050.06695,0014.32946,2YP6oRA5poZ1XPiBLvgxXA,103,201204,1192,PRG
0452011.83,5543758.21,33,U,050.04418,0014.32978,Vrmn-6TzMidBLPthdFWFQg,638,201110,266,PRG
0452011.83,5546293.07,33,U,050.06697,0014.32946,j5kiwoD9YijQc0uGiw_EbQ,106,201909,1192,PRG
0452011.89,5543756.80,33,U,050.04416,0014.32978,wwwleMl-omc53cS8yl-V7A,456,201204,266,PRG
0452012.44,5543758.60,33,U,050.04418,0014.32979,RZEeW3pRffEKxgPDLW0kLw,658,200905,266,PRG
0452012.65,5543757.07,33,U,050.04417,0014.32979,EzivGIFd_mkQQWFWgQUTLg,461,201706,266,PRG
0452012.74,5543757.35,33,U,050.04417,0014.32979,IjFF-tD1xZv6Tzl6iGMhsw,453,201903,266,PRG
0452012.74,5544481.73,33,U,050.05068,0014.32970,hykgLXKKDk3TXbqlvyjJ1Q,245,201706,518,PRG
0452013.59,5543757.57,33,U,050.04417,0014.32980,JP2_imhoXARoH9kvR14_JA,483,201405,266,PRG
0452013.68,5543372.69,33,U,050.04071,0014.32985,cdoqiubJn7nC6LOATXHGbQ,134,201705,144,PRG
0452014.39,5546290.60,33,U,050.06695,0014.32950,tVS5rzAIlQ6zVvwQKHqpKg,116,201405,1192,PRG
0452014.72,5544481.65,33,U,050.05068,0014.32973,GD5Yk27wtVeUlDW3jolOEQ,259,200905,518,PRG
0452015.58,5544309.58,33,U,050.04914,0014.32976,njF-qt0whVDdIwT49cDalg,623,201204,459,PRG
