UTM1,UTM2,UTMzone,category,lat,lon,panoid,numeric,yearMonth,place_id,city
0441920.69,5405631.66,31,U,048.80096,0002.20908,_gOMKVOD-0DL3QY6gTq08w,332,201606,174,PRS
0441921.64,5405632.99,31,U,048.80097,0002.20909,xxXmAApAUAFE2J5kBlMZbA,306,201608,174,PRS
0441922.00,5405631.28,31,U,048.80095,0002.20910,t2EKAjQ1eVfWu90mAM4D2A,310,201907,174,PRS
0441922.13,5405629.84,31,U,048.80094,0002.20910,W38qzh437mGTJ9Hy5JMHOQ,328,201806,174,PRS
0441949.78,5407698.78,31,U,048.81955,0002.20919,Z9zRvlslntBk9RywI1BgGA,196,201406,984,PRS
0441949.89,5407699.12,31,U,048.81956,0002.20919,Rpo2Uy9e0brniVjc_i0ufA,198,200805,984,PRS
0441953.84,5411023.21,31,U,048.84946,0002.20877,DwFwAGWRUUgrasyRrdhAgA,328,201405,2257,PRS
0441954.03,5407700.02,31,U,048.81956,0002.20924,D_sZlz-RyxQ1dXgobv8beg,401,201907,984,PRS
0441954.05,5411024.08,31,U,048.84946,0002.20877,lbVT3YMZs3ImJYUIEusnoA,667,201605,2257,PRS
0441956.69,5407703.60,31,U,048.81960,0002.20928,bNwhwllUXJLC_r8JbcOQ7w,256,201806,984,PRS
0441958.11,5407904.35,31,U,048.82140,0002.20927,MQ-i4OYFTECiwblRt30OIg,259,201806,1076,PRS
0441959.61,5407905.12,31,U,048.82141,0002.20929,tXJYbWUqi9NuPNqaWt320Q,249,201208,1076,PRS
0441960.16,5407905.36,31,U,048.82141,0002.20930,w__QpeTCTr_CO95X-9zMKw,263,201709,1076,PRS
0441960.48,5407905.21,31,U,048.82141,0002.20930,s_pWxpPkMY-1g1LhWbarPQ,250,201907,1076,PRS
0441960.71,5407905.54,31,U,048.82141,0002.20931,8O9KjywtOFkMh_DbTsp4Pg,254,201606,1076,PRS
0441961.22,5407905.67,31,U,048.82142,0002.20931,vSqSsFEQ8WJcAnM668kJvQ,256,201507,1076,PRS
0441961.55,5407905.83,31,U,048.82142,0002.20932,QELZZQtZDot1aCW4pQXtKA,261,200809,1076,PRS
0441962.28,5407906.13,31,U,048.82142,0002.20933,FslDCmnIUgvoq_lIFhKbtA,244,200805,1076,PRS
0441963.31,5407906.35,31,U,048.82142,0002.20934,lGgU_wYOD7Q6x0Np8y_fzw,242,201406,1076,PRS
0441966.75,5407020.73,31,U,048.81346,0002.20951,yZXmNDgBQfEXAwlOiTefyA,553,201606,676,PRS
0441967.21,5407019.77,31,U,048.81345,0002.20952,JtQ4pHr2uhYUAD85gHTJRw,548,201907,676,PRS
0441967.49,5407020.26,31,U,048.81345,0002.20952,TNrFU6k-b4kP1xXY5R2O4g,546,201207,676,PRS
0441968.16,5407022.06,31,U,048.81347,0002.20953,2M9oFl8iG1-jC6iGRALIUQ,536,200805,676,PRS
0441968.32,5407019.82,31,U,048.81345,0002.20953,l91OZ0M77EYE3Y-i9g1UGg,532,201806,676,PRS
0441969.55,5408550.06,31,U,048.82721,0002.20933,LWrQmQ9m683YeTv7BfOlFw,320,201507,1330,PRS
0441971.63,5408548.78,31,U,048.82720,0002.20936,g2sJ7RKn-fW6LtaoF0Z4Kg,146,201406,1330,PRS
0441972.13,5408548.39,31,U,048.82720,0002.20937,b0w3PmhFNbjXczAPa5gZvw,143,201806,1330,PRS
0441973.31,5406810.64,31,U,048.81157,0002.20963,2ofDbMqsSbGV5gz3PbLuiw,300,201606,590,PRS
0441973.67,5408546.61,31,U,048.82718,0002.20939,_RlwFfzkjskBXho9Pp7AnA,311,200805,1330,PRS
0441974.60,5406808.76,31,U,048.81155,0002.20965,Evpf9JHK0qo-CqVCrLHjMg,318,200805,590,PRS
0441974.95,5406807.80,31,U,048.81154,0002.20965,cXV8QUh1-3ywspQtyxGAEA,325,201806,590,PRS
0441975.27,5405468.93,31,U,048.79950,0002.20985,UfoKTUKVdDfbGbJbwQrY7w,154,201606,88,PRS
0441975.75,5406807.17,31,U,048.81154,0002.20967,esJnm2Pg-T1X73ijXtPCWw,321,201207,590,PRS
0441977.29,5405470.63,31,U,048.79951,0002.20988,oZfpNtNWtTRWBXgBqKL2-A,161,201907,88,PRS
0441979.28,5409248.27,31,U,048.83349,0002.20937,nKfwhDxRY1H0HKn93k9K8Q,287,201709,1537,PRS
0441980.76,5409247.95,31,U,048.83349,0002.20939,_5hsOWvGrup7Hoqn-JNrnw,277,200805,1537,PRS
0441981.66,5409677.90,31,U,048.83736,0002.20934,_A460kPcMlfi0tP_l3ykVw,324,201208,1701,PRS
0441981.66,5409884.96,31,U,048.83922,0002.20931,YEkXiiilKrcKP-nezd-IYA,167,201809,1780,PRS
0441982.03,5408366.59,31,U,048.82556,0002.20953,9u6yhGKoviF_TJHVOC3HTw,492,201709,1251,PRS
0441982.25,5409887.02,31,U,048.83924,0002.20932,spJtQmAq7vbCqrLMf-AcvQ,154,201105,1780,PRS
0441982.64,5409884.35,31,U,048.83922,0002.20932,O7TYRt412wbsdFBHNDDaOA,177,201605,1780,PRS
0441983.27,5409880.15,31,U,048.83918,0002.20933,D8AAWR437hkP0AjvbuviCQ,174,201609,1780,PRS
0441983.47,5409884.79,31,U,048.83922,0002.20934,HQTbmznP_v5WLJ6HCgQ-Ew,163,201907,1780,PRS
0441983.52,5409884.47,31,U,048.83922,0002.20934,F9RValTL3KQ1B4cUNlCXPw,167,201710,1780,PRS
0441983.97,5409884.41,31,U,048.83922,0002.20934,cjxPy2dJsDctlwsv5TV2WA,168,201408,1780,PRS
0441984.18,5409881.41,31,U,048.83919,0002.20935,MpGjlPq1e7M_pYITcJXh3Q,162,201208,1780,PRS
0441984.34,5409884.17,31,U,048.83921,0002.20935,AD8Xo4ABatQKpNR8veMQQQ,178,201910,1780,PRS
