UTM1,UTM2,UTMzone,category,lat,lon,panoid,numeric,yearMonth,place_id,city
0395668.25,3701756.78,12,S,033.45015,-112.12255,68Hqou_ThB2VOHu0VCyuPA,243,201104,2688,Phoenix
0395668.50,3701761.40,12,S,033.45020,-112.12255,QE0w3eABP_A9WzgFG_1Afw,238,202012,2688,Phoenix
0395669.14,3701761.05,12,S,033.45019,-112.12255,GgwGjDfN9V4SanHIdnip-Q,233,202002,2688,Phoenix
0395670.02,3701765.52,12,S,033.45023,-112.12254,pxBxoW5_CqqfwTE6xXBkmw,231,200903,2688,Phoenix
0395671.39,3701763.05,12,S,033.45021,-112.12252,vp85grd-q_uryvNINCB9GQ,049,201708,2688,Phoenix
0395671.66,3701759.89,12,S,033.45018,-112.12252,ziX0QAyZIngFomn6TH03YA,060,201805,2688,Phoenix
0395671.82,3701759.46,12,S,033.45018,-112.12252,SJNNvK5XjrfHcuTiqIYoRA,062,201902,2688,Phoenix
0395680.80,3699474.44,12,S,033.42957,-112.12215,E1_ag3qGUJ2wi6Wjv5Wqmw,132,202002,672,Phoenix
0395682.88,3699082.66,12,S,033.42604,-112.12209,fsWwJDp0Wmgs_Q6frqWW5A,354,201708,288,Phoenix
0395683.26,3698670.33,12,S,033.42232,-112.12204,QnwDCAPqf59d16lsi4HfBg,033,201104,0,Phoenix
0395683.28,3699082.45,12,S,033.42604,-112.12208,5RiJdlyiEeRJBTJY3YtNIw,009,201904,288,Phoenix
0395683.43,3698666.15,12,S,033.42228,-112.12203,Ew_TWP7xXvztB61u0rNE1g,213,201504,0,Phoenix
0395684.02,3698670.15,12,S,033.42232,-112.12203,dP7iF3Q6sgudXH9vfDlL2g,026,201905,0,Phoenix
0395684.38,3699082.33,12,S,033.42604,-112.12207,TyyVn2Hop9Y99HWK823NCg,350,201605,288,Phoenix
0395684.41,3698666.65,12,S,033.42229,-112.12202,se5TuJFuKjVgj0mEgD081g,214,200904,0,Phoenix
0395684.61,3698672.91,12,S,033.42234,-112.12202,x7T_CFnBjBXW8bhYQjz0Mg,025,200903,0,Phoenix
0395684.93,3698673.30,12,S,033.42235,-112.12202,aPB1mCSxzpq73qn9lv44Dg,028,201608,0,Phoenix
0395685.14,3699475.35,12,S,033.42958,-112.12211,ps-PI_hAMMqIgCEyNdjdfA,137,201505,672,Phoenix
0395685.58,3699473.66,12,S,033.42957,-112.12210,QVmpTLaGI56ZtaIyf7Qqpw,125,201805,672,Phoenix
0395685.61,3698670.39,12,S,033.42232,-112.12201,qjeAkH2iTrnKEshndo-d7A,030,202002,0,Phoenix
0395685.62,3699474.68,12,S,033.42958,-112.12210,N2lSN4vpZPFiIUqyf13vRQ,124,202012,672,Phoenix
0395685.89,3699086.63,12,S,033.42608,-112.12206,DMzOWRSA6GN_9UNX8vdsww,173,202012,288,Phoenix
0395686.24,3699086.81,12,S,033.42608,-112.12205,JJ_Y0axNeoRuVr6zVBH1xw,172,202002,288,Phoenix
0395686.30,3699474.99,12,S,033.42958,-112.12210,ucaoYHJ_f9I0--6ThjD24A,131,201107,672,Phoenix
0395686.37,3699082.02,12,S,033.42603,-112.12205,Z2w6WcAjBrHR4qhG24BKOw,339,201107,288,Phoenix
0395686.66,3702884.23,12,S,033.46032,-112.12249,iUnaOLsRmrHjPcycApBgew,004,201805,3652,Phoenix
0395686.69,3700080.43,12,S,033.43504,-112.12216,k8p0GumZZ97BC1rHZlz4hg,102,200903,1250,Phoenix
0395687.03,3702881.21,12,S,033.46030,-112.12248,5X-pY7WLUivbsFrjlitxMA,182,201104,3652,Phoenix
0395687.06,3702885.75,12,S,033.46034,-112.12248,gErGijKumvMhtl1UHMZftg,160,201902,3652,Phoenix
0395687.65,3702882.33,12,S,033.46031,-112.12248,57As4jNnpIqZNMvd4DGHKw,172,200804,3652,Phoenix
0395687.98,3702881.68,12,S,033.46030,-112.12247,sxoNQwMOizugm-Kq8Zxktg,158,200903,3652,Phoenix
0395688.12,3702885.01,12,S,033.46033,-112.12247,pGv5b2mljxAPVrstKDoD5A,186,202002,3652,Phoenix
0395688.26,3699475.08,12,S,033.42958,-112.12207,CGqY0Fi2ro1kZoHo__tmtQ,134,201708,672,Phoenix
0395688.50,3698673.10,12,S,033.42235,-112.12198,vz1TL0cwu4m1eFzMS9bzXg,028,201708,0,Phoenix
0395688.52,3700083.11,12,S,033.43506,-112.12214,UYQcUogP_s0RqFQkZhNkUw,288,201902,1250,Phoenix
0395688.70,3699474.40,12,S,033.42957,-112.12207,50tZeYluQJV9mggE_8tshQ,134,201611,672,Phoenix
0395689.88,3699474.82,12,S,033.42958,-112.12206,o2wR46cAQqBZqj12n1Sslw,125,201104,672,Phoenix
0395690.42,3700079.65,12,S,033.43503,-112.12212,I8j-fMcZWcrmSBfQ4YOE9Q,088,201507,1250,Phoenix
