UTM1,UTM2,UTMzone,category,lat,lon,panoid,numeric,yearMonth,place_id,city
0321674.70,4307538.30,18,S,038.89863,-077.05635,SR7t4H61Gu96wFekH1l6Sg,536,201706,638,WashingtonDC
0321677.05,4307540.46,18,S,038.89865,-077.05632,qWRy4il2ksdQ5oAE6JUujQ,520,201103,638,WashingtonDC
0321677.20,4307542.15,18,S,038.89867,-077.05632,3ExhuSA6lCbKeFAxi1tA0Q,539,201810,638,WashingtonDC
0321677.48,4307537.65,18,S,038.89863,-077.05632,S7B6cTGlMl1d9BbdBf-T-g,532,200806,638,WashingtonDC
0321677.50,4307539.08,18,S,038.89864,-077.05632,HtFgiHmKoI6X15o5_3kwTg,518,200907,638,WashingtonDC
0321677.50,4307540.56,18,S,038.89865,-077.05632,6sNs5gh48hzRfrvH7-htvQ,537,201205,638,WashingtonDC
0321677.56,4307539.76,18,S,038.89865,-077.05632,AaU2oMJYg6BOmMT3IXfS8g,536,201404,638,WashingtonDC
0321677.57,4307538.07,18,S,038.89863,-077.05632,dtsTYQmFEIF5M94hIYJFvg,517,200708,638,WashingtonDC
0321677.64,4307539.20,18,S,038.89864,-077.05632,JL4xtn0dZCZInrRtoP9VEA,535,201909,638,WashingtonDC
0321677.67,4307540.19,18,S,038.89865,-077.05632,-HPqieZfmK15dPvhwPATRQ,526,201410,638,WashingtonDC
0321677.67,4307541.65,18,S,038.89866,-077.05632,HsUTz96WUWDnNOkY-egZeA,530,201106,638,WashingtonDC
0321678.39,4307534.47,18,S,038.89860,-077.05631,NafUrK081JgAsIxzblSOKQ,519,201408,638,WashingtonDC
0321699.74,4306991.14,18,S,038.89371,-077.05592,Ou1-tBvM461FdRml5BxbHg,520,201808,352,WashingtonDC
0321700.11,4306990.99,18,S,038.89371,-077.05591,fOCDayA3uTksuhSlbo7Psg,524,201706,352,WashingtonDC
0321701.62,4306987.50,18,S,038.89368,-077.05590,xXxL6a9o_Tql0XN4-pIDKw,515,201406,352,WashingtonDC
0321702.04,4306989.43,18,S,038.89369,-077.05589,9mYQAQ83PDwL7yUMb6iJyg,517,201205,352,WashingtonDC
0321703.06,4306991.90,18,S,038.89372,-077.05588,dYjjp5aHaIRE5qPkGpFleg,532,200907,352,WashingtonDC
0321703.34,4306992.36,18,S,038.89372,-077.05588,C7Sq2zG6T65WMeBlrWf_Ng,524,200806,352,WashingtonDC
0321703.81,4306989.51,18,S,038.89370,-077.05587,GxlwIUXsWeLun4JYvdd9WA,525,201810,352,WashingtonDC
0321703.92,4306989.14,18,S,038.89369,-077.05587,MUgGSgR1o233uDYVli-kCQ,534,201408,352,WashingtonDC
0321703.95,4306989.96,18,S,038.89370,-077.05587,kJOz5NtXcC1UXetPr8HaKA,531,201106,352,WashingtonDC
0321703.97,4306989.58,18,S,038.89370,-077.05587,LSCWIT2aEdFskHANu9xYHQ,525,201103,352,WashingtonDC
0321704.07,4306990.52,18,S,038.89371,-077.05587,Qwl7c5W_lJUBLBuRFXAgOg,523,201909,352,WashingtonDC
0321704.52,4306988.68,18,S,038.89369,-077.05586,fWCP5ke0CMGfjWBxFDUrPw,525,201410,352,WashingtonDC
